image,player,pass_yds,yds_att,att,cmp,cmp_pct,td,int,passer_rating
https://static.www.nfl.com/image/upload/t_person_squared_mobile/t_lazy/f_auto/league/gnnvcgui1cijybukk2w7,Joe Burrow,4918,7.5,652,460,70.6,43,9,108.537832310838
https://static.www.nfl.com/image/upload/t_person_squared_mobile/t_lazy/f_auto/league/yggfwr4ak4po9byj0qor,Jared Goff,4629,8.6,539,390,72.4,37,12,111.769480519481
https://static.www.nfl.com/image/upload/t_person_squared_mobile/t_lazy/f_auto/league/i2uufyghiphx4oihgucm,Baker Mayfield,4500,7.9,570,407,71.4,41,16,106.761695906433
https://static.www.nfl.com/image/upload/t_person_squared_mobile/t_lazy/f_auto/league/tqy0933vz5yogwlefb1s,Geno Smith,4320,7.5,578,407,70.4,21,15,93.2021337946943
https://static.www.nfl.com/image/upload/t_person_squared_mobile/t_lazy/f_auto/league/s5t8m6bhedjwwtfw3ild,Sam Darnold,4319,7.9,545,361,66.2,35,12,102.534403669725
https://static.www.nfl.com/image/upload/t_person_squared_mobile/t_lazy/f_auto/league/cruqs6qpbykh7a2whd7p,Lamar Jackson,4172,8.8,474,316,66.7,41,4,119.629043600563
https://static.www.nfl.com/image/upload/t_person_squared_mobile/t_lazy/f_auto/league/iireqbn32cpg9fn4sfy7,Patrick Mahomes,3928,6.8,581,392,67.5,26,11,93.5061675272519
https://static.www.nfl.com/image/upload/t_person_squared_mobile/t_lazy/f_auto/league/dypvakakxhccxs67tb0y,Aaron Rodgers,3897,6.7,584,368,63.0,28,11,90.5322488584475
https://static.www.nfl.com/image/upload/t_person_squared_mobile/t_lazy/f_auto/league/s1oelyaroiaalgilbeqk,Justin Herbert,3870,7.7,504,332,65.9,23,3,101.703042328042
https://static.www.nfl.com/image/upload/t_person_squared_mobile/t_lazy/f_auto/league/xykdxnvxpf9pobxvkjfj,Brock Purdy,3864,8.5,455,300,65.9,20,12,96.0760073260074
https://static.www.nfl.com/image/upload/t_person_squared_mobile/t_lazy/f_auto/league/flezsremqighwuiyu77f,Kyler Murray,3851,7.1,541,372,68.8,21,11,93.5112446087493
https://static.www.nfl.com/image/upload/t_person_squared_mobile/t_lazy/f_auto/league/igirshmrr6lqtxcpxsea,Bo Nix,3775,6.7,567,376,66.3,29,12,93.316431510876
https://static.www.nfl.com/image/upload/t_person_squared_mobile/t_lazy/f_auto/league/svxl2pk2cuqf26zrhii4,Matthew Stafford,3762,7.3,517,340,65.8,20,8,93.6532882011605
https://static.www.nfl.com/image/upload/t_person_squared_mobile/t_lazy/f_auto/league/servs1fpsynfxep4rz2z,Josh Allen,3731,7.7,483,307,63.6,28,6,101.384575569358
https://static.www.nfl.com/image/upload/t_person_squared_mobile/t_lazy/f_auto/league/tt4zrtxlhifaljhj0rn7,C.J. Stroud,3727,7.0,532,336,63.2,20,12,87.0379072681704
https://static.www.nfl.com/image/upload/t_person_squared_mobile/t_lazy/f_auto/league/vrdweg39v1ay4zoc0lgp,Jayden Daniels,3568,7.4,480,331,69.0,25,9,100.069444444444
https://static.www.nfl.com/image/upload/t_person_squared_mobile/t_lazy/f_auto/league/h4qs11kutwiw7whekmyt,Caleb Williams,3541,6.3,562,351,62.5,20,6,87.7965599051008
https://static.www.nfl.com/image/upload/t_person_squared_mobile/t_lazy/f_auto/league/hmdqr7gju0dciapvdjcv,Kirk Cousins,3508,7.7,453,303,66.9,18,16,88.6175496688742
https://static.www.nfl.com/image/upload/t_person_squared_mobile/t_lazy/f_auto/league/uneiwen9drvci9ahuebp,Jordan Love,3389,8.0,425,268,63.1,25,11,96.6813725490196
https://static.www.nfl.com/image/upload/t_person_squared_mobile/t_lazy/f_auto/league/c47i9v6gmokkun9cat9s,Jalen Hurts,2903,8.0,361,248,68.7,18,5,103.687673130194
https://static.www.nfl.com/image/upload/t_person_squared_mobile/t_lazy/f_auto/league/ktqj3s5vofexl2dwrrp4,Tua Tagovailoa,2867,7.2,399,291,72.9,19,7,101.362781954887
https://static.www.nfl.com/image/upload/t_person_squared_mobile/t_lazy/f_auto/league/vkstxj0evgkjiycu4glc,Russell Wilson,2482,7.4,336,214,63.7,16,5,95.6101190476191
https://static.www.nfl.com/image/upload/t_person_squared_mobile/t_lazy/f_auto/league/qy1lfhlzhiacsyzzm1j7,Bryce Young,2403,6.3,384,234,60.9,15,9,82.1940104166667
https://static.www.nfl.com/image/upload/t_person_squared_mobile/t_lazy/f_auto/league/oyap81gtzcvnfmripis1,Drake Maye,2276,6.7,338,225,66.6,15,10,88.0793885601578
https://static.www.nfl.com/image/upload/t_person_squared_mobile/t_lazy/f_auto/league/qsz1pyrlu6bmvby6maaf,Derek Carr,2145,7.7,279,189,67.7,15,5,101.022998805257
